iter	Passed	Remaining
0	50	152664
1	55	82447
2	58	58509
3	62	46697
4	65	39482
5	69	34576
6	72	31057
7	75	28345
8	78	26226
9	82	24553
10	85	23098
11	88	21942
12	91	21013
13	94	20157
14	97	19430
15	100	18820
16	104	18286
17	107	17815
18	110	17379
19	114	17038
20	117	16704
21	121	16394
22	124	16108
23	128	15983
24	132	15728
25	135	15505
26	138	15298
27	142	15100
28	145	14930
29	149	14757
30	152	14607
31	155	14455
32	159	14323
33	162	14187
34	166	14068
35	169	13962
36	172	13853
37	176	13752
38	179	13654
39	183	13562
40	186	13470
41	190	13381
42	193	13299
43	196	13215
44	200	13138
45	203	13073
46	207	13010
47	210	12944
48	213	12887
49	217	12831
50	220	12770
51	224	12712
52	227	12650
53	230	12599
54	234	12546
55	237	12492
56	241	12443
57	244	12392
58	247	12343
59	251	12302
60	254	12257
61	257	12212
62	261	12170
63	264	12129
64	267	12089
65	270	12046
66	274	12013
67	278	11989
68	281	11966
69	285	11942
70	288	11919
71	292	11894
72	296	11872
73	299	11848
74	303	11831
75	306	11809
76	310	11788
77	314	11768
78	317	11751
79	321	11732
80	325	11712
81	328	11694
82	332	11673
83	335	11654
84	339	11633
85	342	11613
86	346	11599
87	350	11583
88	353	11565
89	357	11547
90	360	11530
91	364	11515
92	367	11498
93	371	11481
94	374	11465
95	378	11447
96	381	11431
97	385	11417
98	389	11399
99	392	11378
100	395	11357
101	399	11340
102	402	11323
103	405	11304
104	409	11284
105	412	11266
106	416	11253
107	419	11240
108	423	11229
109	427	11218
110	430	11204
111	433	11190
112	437	11180
113	441	11168
114	444	11154
115	448	11144
116	451	11132
117	455	11120
118	458	11108
119	462	11097
120	466	11088
121	469	11077
122	473	11066
123	476	11058
124	480	11053
125	484	11050
126	488	11046
127	492	11044
128	495	11034
129	499	11028
130	503	11020
131	506	11013
132	510	11005
133	514	11000
134	518	10994
135	521	10985
136	525	10983
137	528	10969
138	532	10961
139	536	10962
140	540	10955
141	543	10945
142	547	10936
143	551	10930
144	554	10922
145	558	10913
146	561	10905
147	566	10909
148	569	10899
149	573	10899
150	577	10891
151	581	10894
152	585	10886
153	588	10879
154	592	10872
155	595	10865
156	599	10857
157	603	10849
158	606	10842
159	610	10835
160	614	10831
161	618	10829
162	621	10822
163	625	10815
164	629	10811
165	633	10810
166	636	10803
167	640	10802
168	644	10793
169	647	10783
170	651	10780
171	655	10777
172	660	10788
173	664	10786
174	667	10782
175	671	10779
176	675	10777
177	679	10776
178	683	10771
179	687	10768
180	691	10767
181	695	10764
182	699	10761
183	702	10758
184	706	10756
185	710	10755
186	714	10750
187	718	10748
188	722	10746
189	726	10742
190	730	10739
191	734	10738
192	738	10744
193	742	10744
194	746	10740
195	750	10738
196	754	10737
197	758	10734
198	762	10730
199	766	10726
200	770	10725
201	774	10722
202	777	10718
203	782	10723
204	786	10716
205	790	10716
206	793	10711
207	797	10703
208	800	10695
209	804	10688
210	808	10680
211	811	10671
212	816	10679
213	819	10671
214	823	10663
215	826	10655
216	830	10651
217	834	10646
218	837	10640
219	841	10636
220	845	10629
221	848	10622
222	852	10616
223	856	10609
224	859	10602
225	863	10597
226	867	10592
227	870	10587
228	874	10580
229	878	10575
230	881	10571
231	885	10570
232	889	10565
233	893	10560
234	897	10558
235	901	10555
236	905	10550
237	908	10547
238	912	10544
239	916	10540
240	922	10556
241	925	10552
242	929	10545
243	933	10549
244	938	10548
245	942	10546
246	945	10543
247	950	10546
248	954	10544
249	958	10543
250	962	10544
251	966	10540
252	970	10536
253	974	10532
254	978	10531
255	982	10527
256	986	10525
257	990	10525
258	994	10521
259	998	10517
260	1001	10514
261	1005	10511
262	1009	10507
263	1013	10507
264	1017	10503
265	1021	10500
266	1025	10497
267	1029	10494
268	1033	10490
269	1037	10486
270	1041	10483
271	1044	10480
272	1048	10477
273	1053	10485
274	1057	10482
275	1062	10481
276	1066	10479
277	1069	10476
278	1073	10472
279	1077	10471
280	1081	10469
281	1085	10466
282	1089	10464
283	1094	10464
284	1098	10460
285	1101	10457
286	1105	10454
287	1109	10452
288	1113	10448
289	1118	10455
290	1122	10451
291	1126	10449
292	1130	10447
293	1134	10444
294	1139	10444
295	1143	10446
296	1147	10442
297	1152	10445
298	1155	10442
299	1160	10441
300	1164	10438
301	1168	10437
302	1172	10433
303	1176	10433
304	1180	10431
305	1184	10428
306	1188	10428
307	1193	10429
308	1197	10425
309	1201	10422
310	1205	10420
311	1209	10418
312	1213	10415
313	1217	10411
314	1221	10408
315	1225	10406
316	1229	10405
317	1233	10402
318	1237	10398
319	1241	10396
320	1247	10410
321	1251	10406
322	1255	10404
323	1259	10403
324	1263	10401
325	1267	10398
326	1272	10400
327	1276	10398
328	1280	10394
329	1284	10391
330	1288	10387
331	1292	10383
332	1296	10379
333	1299	10375
334	1303	10373
335	1307	10370
336	1312	10368
337	1316	10364
338	1319	10360
339	1323	10356
340	1327	10352
341	1331	10348
342	1335	10345
343	1339	10341
344	1343	10337
345	1347	10333
346	1350	10327
347	1354	10322
348	1358	10315
349	1362	10313
350	1365	10308
351	1369	10303
352	1373	10297
353	1376	10290
354	1380	10284
355	1383	10278
356	1387	10274
357	1391	10271
358	1395	10267
359	1399	10263
360	1403	10260
361	1407	10255
362	1411	10252
363	1415	10247
364	1418	10243
365	1422	10239
366	1426	10235
367	1430	10231
368	1434	10224
369	1437	10218
370	1441	10212
371	1445	10208
372	1448	10204
373	1452	10198
374	1456	10194
375	1459	10188
376	1463	10182
377	1467	10176
378	1470	10171
379	1474	10166
380	1478	10160
381	1481	10154
382	1485	10148
383	1488	10142
384	1492	10136
385	1496	10132
386	1500	10128
387	1504	10125
388	1507	10119
389	1511	10114
390	1514	10108
391	1518	10102
392	1522	10096
393	1525	10091
394	1529	10085
395	1532	10079
396	1536	10074
397	1540	10068
398	1543	10063
399	1547	10058
400	1551	10053
401	1554	10047
402	1558	10042
403	1562	10037
404	1565	10031
405	1569	10026
406	1573	10022
407	1577	10019
408	1581	10016
409	1585	10013
410	1588	10009
411	1592	10004
412	1596	9999
413	1600	9994
414	1603	9988
415	1607	9983
416	1611	9979
417	1614	9975
418	1618	9971
419	1622	9969
420	1626	9964
421	1630	9959
422	1634	9954
423	1637	9949
424	1641	9943
425	1644	9938
426	1648	9933
427	1652	9927
428	1655	9922
429	1659	9916
430	1662	9910
431	1666	9905
432	1669	9899
433	1673	9894
434	1677	9889
435	1680	9884
436	1684	9879
437	1688	9874
438	1691	9868
439	1695	9864
440	1699	9860
441	1703	9857
442	1707	9854
443	1711	9851
444	1715	9847
445	1719	9844
446	1723	9844
447	1728	9843
448	1732	9840
449	1736	9837
450	1740	9834
451	1743	9831
452	1747	9827
453	1751	9824
454	1755	9821
455	1759	9817
456	1763	9812
457	1767	9808
458	1770	9802
459	1774	9798
460	1778	9793
461	1781	9788
462	1785	9784
463	1789	9779
464	1792	9774
465	1796	9768
466	1800	9763
467	1803	9758
468	1807	9752
469	1810	9747
470	1814	9743
471	1818	9740
472	1822	9734
473	1825	9730
474	1829	9725
475	1833	9719
476	1836	9714
477	1840	9709
478	1843	9703
479	1847	9698
480	1850	9692
481	1854	9687
482	1858	9683
483	1862	9679
484	1866	9678
485	1870	9673
486	1873	9669
487	1877	9664
488	1881	9659
489	1884	9654
490	1888	9649
491	1892	9644
492	1896	9641
493	1899	9637
494	1903	9632
495	1907	9627
496	1910	9623
497	1914	9618
498	1918	9613
499	1921	9608
500	1927	9612
501	1931	9609
502	1934	9605
503	1938	9600
504	1942	9595
505	1945	9591
506	1949	9586
507	1953	9581
508	1957	9580
509	1961	9576
510	1965	9571
511	1968	9565
512	1972	9561
513	1976	9557
514	1979	9552
515	1983	9546
516	1987	9544
517	1990	9539
518	1994	9534
519	1998	9530
520	2001	9525
521	2005	9520
522	2009	9515
523	2012	9511
524	2016	9506
525	2019	9500
526	2023	9495
527	2027	9490
528	2030	9485
529	2034	9480
530	2037	9475
531	2041	9470
532	2045	9466
533	2048	9460
534	2052	9454
535	2055	9449
536	2058	9443
537	2062	9438
538	2066	9433
539	2069	9427
540	2073	9422
541	2076	9417
542	2080	9413
543	2083	9408
544	2087	9403
545	2091	9398
546	2094	9393
547	2098	9388
548	2101	9383
549	2105	9377
550	2108	9371
551	2111	9366
552	2115	9360
553	2118	9354
554	2122	9349
555	2125	9343
556	2129	9338
557	2132	9332
558	2135	9326
559	2139	9322
560	2143	9318
561	2147	9314
562	2150	9309
563	2154	9305
564	2158	9300
565	2161	9295
566	2164	9289
567	2168	9283
568	2171	9277
569	2175	9272
570	2178	9267
571	2181	9261
572	2185	9256
573	2188	9250
574	2192	9245
575	2195	9240
576	2199	9234
577	2202	9228
578	2205	9223
579	2209	9217
580	2212	9211
581	2215	9206
582	2219	9200
583	2222	9195
584	2226	9190
585	2229	9184
586	2233	9180
587	2236	9174
588	2239	9168
589	2243	9163
590	2246	9157
591	2250	9152
592	2253	9146
593	2256	9140
594	2260	9135
595	2263	9129
596	2266	9124
597	2270	9118
598	2273	9113
599	2277	9108
600	2280	9103
601	2284	9098
602	2287	9094
603	2291	9090
604	2295	9085
605	2298	9080
606	2301	9075
607	2305	9069
608	2308	9064
609	2312	9058
610	2315	9053
611	2318	9048
612	2322	9043
613	2325	9037
614	2329	9032
615	2332	9028
616	2336	9023
617	2339	9018
618	2343	9012
619	2346	9008
620	2350	9003
621	2353	8997
622	2356	8992
623	2360	8987
624	2363	8982
625	2367	8977
626	2371	8973
627	2374	8969
628	2378	8966
629	2382	8962
630	2387	8962
631	2391	8959
632	2394	8955
633	2398	8950
634	2402	8946
635	2406	8943
636	2409	8939
637	2413	8935
638	2417	8931
639	2421	8928
640	2425	8924
641	2428	8921
642	2432	8916
643	2436	8913
644	2440	8909
645	2443	8905
646	2447	8901
647	2451	8896
648	2454	8891
649	2458	8887
650	2461	8882
651	2465	8878
652	2469	8874
653	2472	8869
654	2476	8865
655	2479	8861
656	2483	8856
657	2487	8852
658	2490	8848
659	2494	8844
660	2498	8840
661	2501	8836
662	2505	8832
663	2509	8827
664	2513	8824
665	2516	8819
666	2520	8815
667	2524	8811
668	2527	8807
669	2531	8803
670	2535	8799
671	2538	8795
672	2542	8791
673	2546	8786
674	2549	8782
675	2553	8778
676	2556	8773
677	2560	8769
678	2564	8765
679	2567	8760
680	2571	8757
681	2575	8752
682	2578	8747
683	2581	8742
684	2585	8737
685	2588	8732
686	2592	8728
