shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
ro-10d2bd23,1,40.283758,-3.776647
ro-10d2bd23,2,40.281331,-3.764138
ro-10d2bd23,3,40.280289,-3.767381
ro-10d2bd23,4,40.279812,-3.768663
ro-10d2bd23,5,40.279694,-3.771936
ro-10d2bd23,6,40.280105,-3.776073
ro-10d2bd23,7,40.280254,-3.782078
ro-10d2bd23,8,40.281991,-3.786730
ro-10d2bd23,9,40.284046,-3.790213
ro-10d2bd23,10,40.284679,-3.794046
ro-10d2bd23,11,40.284404,-3.797145
ro-10d2bd23,12,40.286802,-3.799901
ro-10d2bd23,13,40.288729,-3.802126
ro-10d2bd23,14,40.292239,-3.806570
ro-10d2bd23,15,40.293988,-3.810335
ro-10d2bd23,16,40.295880,-3.809744
ro-10d2bd23,17,40.298502,-3.809587
ro-10d2bd23,18,40.300204,-3.810301
ro-10d2bd23,19,40.298252,-3.809818
ro-10d2bd23,20,40.295869,-3.810005
ro-10d2bd23,21,40.294257,-3.810394
ro-10d2bd23,22,40.292084,-3.810051
ro-10d2bd23,23,40.289035,-3.809879
ro-10d2bd23,24,40.285285,-3.810365
ro-10d2bd23,25,40.285739,-3.816035
ro-10d2bd23,26,40.288812,-3.818908
ro-10d2bd23,27,40.291219,-3.821103
ro-10d2bd23,28,40.294269,-3.825360
ro-10d2bd23,29,40.294944,-3.831686
ro-10d2bd23,30,40.296877,-3.833452
ro-10d2bd23,31,40.296264,-3.835997
ro-10d2bd23,32,40.296144,-3.840126
ro-10d2bd23,33,40.301257,-3.840852
ro-10d2bd23,34,40.303593,-3.839088
ro-10d2bd23,35,40.303594,-3.836476
ro-10d2bd23,36,40.303533,-3.834981
ro-10d2bd23,37,40.314138,-3.839526
ro-1f3afea0,1,40.281991,-3.786730
ro-1f3afea0,2,40.284046,-3.790213
ro-1f3afea0,3,40.287126,-3.788297
ro-1f3afea0,4,40.288807,-3.788627
ro-1f3afea0,5,40.292306,-3.786405
ro-1f3afea0,6,40.294333,-3.785242
ro-1f3afea0,7,40.295524,-3.788812
ro-1f3afea0,8,40.296374,-3.792098
ro-1f3afea0,9,40.300204,-3.810301
ro-3af42ee9,1,40.281991,-3.786730
ro-3af42ee9,2,40.284046,-3.790213
ro-3af42ee9,3,40.287126,-3.788297
ro-3af42ee9,4,40.288807,-3.788627
ro-3af42ee9,5,40.292306,-3.786405
ro-3af42ee9,6,40.294333,-3.785242
ro-3af42ee9,7,40.295524,-3.788812
ro-3af42ee9,8,40.296374,-3.792098
