trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off
1_0_20260518T085501_61325c70,21362,10:56:00,10:56:00,0,1,,0,0,1,1
1_0_20260518T085501_61325c70,8068,11:00:00,11:00:00,0,2,,0,0,1,1
1_0_20260518T085501_61325c70,8066,11:01:00,11:01:00,0,3,,0,0,1,1
1_0_20260518T085501_61325c70,8064,11:02:00,11:02:00,0,4,,0,0,1,1
1_0_20260518T085501_61325c70,8062,11:03:00,11:03:00,0,5,,0,0,1,1
1_0_20260518T085501_61325c70,8060,11:04:00,11:04:00,0,6,,0,0,1,1
1_0_20260518T085501_61325c70,11061,11:05:00,11:05:00,0,7,,0,0,1,1
1_0_20260518T085501_61325c70,7784,11:06:00,11:06:00,0,8,,0,0,1,1
1_0_20260518T085501_61325c70,7773,11:08:00,11:08:00,0,9,,0,0,1,1
1_0_20260518T085501_61325c70,7751,11:09:00,11:09:00,0,10,,0,0,1,1
1_0_20260518T085501_61325c70,7752,11:10:00,11:10:00,0,11,,0,0,1,1
1_0_20260518T085501_61325c70,7718,11:11:00,11:11:00,0,12,,0,0,1,1
1_0_20260518T085501_61325c70,7717,11:12:00,11:12:00,0,13,,0,0,1,1
1_0_20260518T085501_61325c70,7703,11:13:00,11:13:00,0,14,,0,0,1,1
1_0_20260518T085501_61325c70,7698,11:14:00,11:14:00,0,15,,0,0,1,1
1_0_20260518T085501_61325c70,7697,11:15:00,11:15:00,0,16,,0,0,1,1
1_0_20260518T085501_61325c70,7694,11:16:00,11:16:00,0,17,,0,0,1,1
1_0_20260518T085501_61325c70,7692,11:17:00,11:17:00,0,18,,0,0,1,1
1_0_20260518T085501_61325c70,7695,11:17:00,11:17:00,0,19,,0,0,1,1
1_0_20260518T085501_61325c70,7696,11:18:00,11:18:00,0,20,,0,0,1,1
1_0_20260518T085501_61325c70,7699,11:19:00,11:19:00,0,21,,0,0,1,1
1_0_20260518T085501_61325c70,11169,11:19:00,11:19:00,0,22,,0,0,1,1
1_0_20260518T085501_61325c70,11171,11:21:00,11:21:00,0,23,,0,0,1,1
1_0_20260518T085501_61325c70,11173,11:22:00,11:22:00,0,24,,0,0,1,1
1_0_20260518T085501_61325c70,12638,11:23:00,11:23:00,0,25,,0,0,1,1
1_0_20260518T085501_61325c70,18166,11:25:00,11:25:00,0,26,,0,0,1,1
1_0_20260518T085501_61325c70,18168,11:26:00,11:26:00,0,27,,0,0,1,1
1_0_20260518T085501_61325c70,18170,11:27:00,11:27:00,0,28,,0,0,1,1
1_0_20260518T085501_61325c70,12423,11:29:00,11:29:00,0,29,,0,0,1,1
1_0_20260518T085501_61325c70,11682,11:30:00,11:30:00,0,30,,0,0,1,1
1_0_20260518T085501_61325c70,11681,11:30:00,11:30:00,0,31,,0,0,1,1
1_0_20260518T085501_61325c70,11679,11:31:00,11:31:00,0,32,,0,0,1,1
1_0_20260518T085501_61325c70,11677,11:33:00,11:33:00,0,33,,0,0,1,1
1_0_20260518T085501_61325c70,12425,11:34:00,11:34:00,0,34,,0,0,1,1
1_0_20260518T085501_61325c70,12427,11:35:00,11:35:00,0,35,,0,0,1,1
1_0_20260518T085501_61325c70,11675,11:35:00,11:35:00,0,36,,0,0,1,1
1_0_20260518T085501_61325c70,8180,11:41:00,11:41:00,0,37,,0,0,1,1
1_0_20260518T104558_70cdae27,21362,12:46:00,12:46:00,0,1,,0,0,1,1
1_0_20260518T104558_70cdae27,8068,12:50:00,12:50:00,0,2,,0,0,1,1
1_0_20260518T104558_70cdae27,8066,12:51:00,12:51:00,0,3,,0,0,1,1
1_0_20260518T104558_70cdae27,8064,12:52:00,12:52:00,0,4,,0,0,1,1
1_0_20260518T104558_70cdae27,8062,12:53:00,12:53:00,0,5,,0,0,1,1
1_0_20260518T104558_70cdae27,8060,12:54:00,12:54:00,0,6,,0,0,1,1
1_0_20260518T104558_70cdae27,11061,12:55:00,12:55:00,0,7,,0,0,1,1
1_0_20260518T104558_70cdae27,7784,12:56:00,12:56:00,0,8,,0,0,1,1
1_0_20260518T104558_70cdae27,7773,12:58:00,12:58:00,0,9,,0,0,1,1
1_0_20260518T104558_70cdae27,7751,12:59:00,12:59:00,0,10,,0,0,1,1
1_0_20260518T104558_70cdae27,7752,13:00:00,13:00:00,0,11,,0,0,1,1
1_0_20260518T104558_70cdae27,7718,13:01:00,13:01:00,0,12,,0,0,1,1
1_0_20260518T104558_70cdae27,7717,13:02:00,13:02:00,0,13,,0,0,1,1
1_0_20260518T104558_70cdae27,7703,13:03:00,13:03:00,0,14,,0,0,1,1
